sample;SampleID;PlateNumber;Subject;Habitat;quant_reading;Sample_or_Control
VERDY3;VERDY3;1;1;nasopharyngeal;0;True Sample
VERDY6;VERDY6;1;1;nasopharyngeal;0;True Sample
VERDY24;VERDY24;1;1;nasopharyngeal;0;True Sample
VERDY4;VERDY4;1;1;nasopharyngeal;0;True Sample
Plrevelo.NT1;Plrevelo.NT1;1;1;nasopharyngeal;0;Control Sample
Plrevelo.NT2;Plrevelo.NT2;1;1;nasopharyngeal;0;Control Sample
Plrevelo.NT3;Plrevelo.NT3;1;1;nasopharyngeal;0;Control Sample
Plrevelo.NT4;Plrevelo.NT4;1;1;nasopharyngeal;0;Control Sample
Plrevelo.NT5;Plrevelo.NT5;1;1;nasopharyngeal;0;Control Sample
VERDY5;VERDY5;1;1;nasopharyngeal;0;True Sample
VERDY7;VERDY7;1;1;nasopharyngeal;0;True Sample
VERDY2;VERDY2;1;1;nasopharyngeal;0;True Sample
VERDY8;VERDY8;1;1;nasopharyngeal;0;True Sample
VERDY21;VERDY21;1;1;nasopharyngeal;0;True Sample
VERDY33;VERDY33;1;1;nasopharyngeal;0;True Sample
VERDY34;VERDY34;1;1;nasopharyngeal;0;True Sample
VERDY35;VERDY35;1;1;nasopharyngeal;0;True Sample
VERDY36;VERDY36;1;1;nasopharyngeal;0;True Sample
VERDY38;VERDY38;1;1;nasopharyngeal;0;True Sample
VERDY39;VERDY39;1;1;nasopharyngeal;0;True Sample
VERDY51;VERDY51;1;1;nasopharyngeal;0;True Sample
VERDY40;VERDY40;1;1;nasopharyngeal;0;True Sample
VERDY49;VERDY49;1;1;nasopharyngeal;0;True Sample
VERDY53;VERDY53;1;1;nasopharyngeal;0;True Sample
VERDY20;VERDY20;1;1;nasopharyngeal;0;True Sample
VERDY37;VERDY37;1;1;nasopharyngeal;0;True Sample
VERDY65;VERDY65;1;1;nasopharyngeal;0;True Sample
VERDY66;VERDY66;1;1;nasopharyngeal;0;True Sample
VERDY9;VERDY9;1;1;nasopharyngeal;0;True Sample
VERDY17;VERDY17;1;1;nasopharyngeal;0;True Sample
VERDY54;VERDY54;1;1;nasopharyngeal;0;True Sample
VERDY19;VERDY19;1;1;nasopharyngeal;0;True Sample
VERDY18;VERDY18;1;1;nasopharyngeal;0;True Sample
VERDY52;VERDY52;1;1;nasopharyngeal;0;True Sample
VERDY23;VERDY23;1;1;nasopharyngeal;0;True Sample
VERDY55;VERDY55;1;1;nasopharyngeal;0;True Sample
Plrevelo.TLIB2;Plrevelo.TLIB2;1;1;nasopharyngeal;0;Control Sample
Plrevelo.TLIB1;Plrevelo.TLIB1;1;1;nasopharyngeal;0;Control Sample
Plrevelo.IV01IV;Plrevelo.IV01IV;1;1;nasopharyngeal;0;True Sample
