sample;Anelloviridae;Autographiviridae;Caudoviricetes;Demerecviridae;Herelleviridae;Papillomaviridae;Potyviridae;Siphoviridae;Viruses_Unclassified_Unclassified_Unclassified_Unclassified
VERDY17;0;0;0.028065077;0;0;0;0;0;0
VERDY18;0;0;0;0;0;0;0;0;0
VERDY19;0;0;0;0;0;0;0;0;0.01767202
VERDY2;0;0;0.098381941;0;0;0;0;0;0
VERDY20;0;0;0.039681639;0;0;0;0;0;0
VERDY21;0;0;0;0;0;0;0;0;0
VERDY23;0;0;0.033352458;0;0;0;0;0;0
VERDY24;0;0;0.077986116;0;0.128239013;0;0;0;0
VERDY3;0;0;0;0;0;0;0;0;0
VERDY33;0;0;0.504088053;0;0;0.039698786;0;0;0.01315662
VERDY34;0;0;0;0;0;0;0;0;0
VERDY35;0;0;0.206631803;0;0;0;0.206907013;0;0
VERDY36;0;0;0.195996812;0;0;0;0;0;0
VERDY37;0.045726614;0;0.400900496;0;0;0.076560823;0;0;0
VERDY38;0;0;0.155128208;0;0;0;0;0;0
VERDY39;0;0;0;0;0;0;0;0;0
VERDY4;0;0;0.038226044;0;0;0;0;0;0
VERDY40;0;0;0;0;0;0;0;0;0
VERDY49;0;0.010636035;0.200727221;0;0;0;0;0;0
VERDY5;0;0;0;0;0;0;0;0;0
VERDY51;0;0;0.012890606;0;0;0;0;0;0
VERDY52;0.034264105;0;0.010129242;0;0;0;0;0;0
VERDY53;0;0.122437351;0.101459446;0;0;0;0;0;0
VERDY54;0;0;0;0;0;0;0;0;0
VERDY55;0;0;0.01674537;0;0;0;0;0;0
VERDY6;0;0;0;0;0;0;0;0;0.708365807
VERDY65;0;0;0;0;0;0.059061877;0;0;0
VERDY66;0;0;0;0;0;0;0;0;0
VERDY7;0;0;0;0;0;0;0;0;0
VERDY8;0;0;0;0;0;0;0;0;0
VERDY9;0;0;0;0;0;0;0;0;0
